concept,primary_cohort_n,observed_n,missing_n,missing_percent,unknown_n,conflict_n,viability,note
age_at_diagnosis_days,1978,1978,0,0.0,0,0,CORE CANDIDATE,Baseline timing; GDC preferred; used for eligibility.
sex_at_birth,1978,1978,0,0.0,0,0,CORE CANDIDATE,GDC demographic field; CDE Gender is not substituted.
race,1978,1785,193,9.76,193,0,SECONDARY CANDIDATE,Scientifically interpretable but substantial Unknown/not reported.
ethnicity,1978,1909,69,3.49,69,0,SECONDARY CANDIDATE,Scientifically interpretable but substantial Unknown/not reported.
wbc_at_diagnosis,1978,1968,10,0.51,0,0,CORE CANDIDATE,Baseline laboratory measure; AML1031 complete; overlaps agree.
risk_group,1978,1867,111,5.61,88,8,CORE CANDIDATE,Protocol AML risk; AML1031 nearly complete; small LowDepth disagreements.
flt3_itd,1978,1903,75,3.79,68,0,CORE CANDIDATE,Baseline molecular marker; complete in AML1031.
npm,1978,1891,87,4.4,66,6,CORE CANDIDATE,Baseline molecular marker; complete in AML1031.
cebpa,1978,1895,83,4.2,76,0,CORE CANDIDATE,Baseline molecular marker; complete in AML1031.
fab,1978,873,1105,55.86,116,0,SECONDARY CANDIDATE,Baseline morphology; AML1031 nearly empty so not preferred.
cns_disease,1978,1883,95,4.8,88,0,SECONDARY CANDIDATE,Baseline CNS involvement; additional file mostly Unknown.
marrow_blasts,1978,1833,145,7.33,1,0,SECONDARY CANDIDATE,Baseline disease burden; modest missingness.
peripheral_blasts,1978,1943,35,1.77,1,0,SECONDARY CANDIDATE,Baseline disease burden; modest missingness.
cytogenetics_t821,1978,1843,135,6.83,128,0,SECONDARY CANDIDATE,Lesion flag retained; not collapsed into a composite.
cytogenetics_inv16,1978,1844,134,6.77,127,0,SECONDARY CANDIDATE,Lesion flag retained; not collapsed into a composite.
cytogenetics_mll,1978,1844,134,6.77,127,1,SECONDARY CANDIDATE,Lesion flag retained; not collapsed into a composite.
cytogenetics_monosomy7,1978,1844,134,6.77,127,0,SECONDARY CANDIDATE,Lesion flag retained; not collapsed into a composite.
primary_cytogenetic_code,1978,1924,54,2.73,47,15,NEEDS REVIEW,Summary code disagrees with LowDepth in overlaps; not assumed equivalent to lesion flags.
protocol_identifier,1978,,,,,,NOT RECOMMENDED,"Possible stratifier, not a biological baseline exposure."
primary_diagnosis,1978,,,,,,NOT RECOMMENDED,No variation (AML NOS only) on the Cases API.
mrd_end_course_1,1978,,,,,,NOT RECOMMENDED,Post-baseline response measure.
sct_in_first_cr,1978,,,,,,NOT RECOMMENDED,Post-baseline treatment; immortal-time risk.
gemtuzumab,1978,,,,,,NOT RECOMMENDED,Post-baseline treatment; no start day on Cases API.
first_event,1978,,,,,,NOT RECOMMENDED,"Outcome/EFS construct, not a baseline covariate."
