"concept","n_primary_cohort","n_observed","n_AML1031","n_Discovery","n_Validation","n_LowDepth","n_additional","n_GDC","n_none_unresolved_observed","n_conflict_flag","n_not_observed"
"age_at_diagnosis_days",1978,1978,0,0,0,0,0,1978,0,0,0
"sex_at_birth",1978,1978,0,0,0,0,0,1978,0,0,0
"race",1978,1785,0,0,0,0,0,1785,0,0,193
"ethnicity",1978,1909,0,0,0,0,0,1909,0,0,69
"wbc_at_diagnosis",1978,1968,982,422,472,12,80,0,0,0,10
"risk_group",1978,1867,975,403,464,12,13,0,0,8,111
"flt3_itd",1978,1903,983,420,471,13,16,0,0,0,75
"npm",1978,1891,983,407,471,14,16,0,0,6,87
"cebpa",1978,1895,983,411,471,14,16,0,0,0,83
"fab",1978,873,3,393,399,12,66,0,0,0,1105
"cns_disease",1978,1883,946,422,472,12,31,0,0,0,95
"marrow_blasts",1978,1833,905,409,434,12,73,0,0,0,145
"peripheral_blasts",1978,1943,966,420,466,12,79,0,0,0,35
"cytogenetics_t821",1978,1843,974,396,455,6,12,0,0,0,135
"cytogenetics_inv16",1978,1844,974,396,456,6,12,0,0,0,134
"cytogenetics_mll",1978,1844,974,396,456,6,12,0,0,1,134
"cytogenetics_monosomy7",1978,1844,974,396,456,6,12,0,0,0,134
"primary_cytogenetic_code",1978,1924,969,400,457,20,78,0,0,15,54
