"variable","category","missingness","n","percent","is_unknown","is_rare","recommendation"
"sex_at_birth","female","observed",940,47.52,FALSE,FALSE,"KEEP"
"sex_at_birth","male","observed",1038,52.48,FALSE,FALSE,"KEEP"
"race","american indian or alaska native","observed",13,0.66,FALSE,TRUE,"POTENTIAL COLLAPSE BEFORE MODELING"
"race","asian","observed",91,4.6,FALSE,FALSE,"KEEP"
"race","black or african american","observed",232,11.73,FALSE,FALSE,"KEEP"
"race","native hawaiian or other pacific islander","observed",8,0.4,FALSE,TRUE,"POTENTIAL COLLAPSE BEFORE MODELING"
"race","other","observed",20,1.01,FALSE,FALSE,"KEEP"
"race","white","observed",1421,71.84,FALSE,FALSE,"KEEP"
"race","Unknown","unknown",193,9.76,TRUE,FALSE,"KEEP"
"ethnicity","hispanic or latino","observed",357,18.05,FALSE,FALSE,"KEEP"
"ethnicity","not hispanic or latino","observed",1552,78.46,FALSE,FALSE,"KEEP"
"ethnicity","Unknown","unknown",69,3.49,TRUE,FALSE,"KEEP"
"risk_group","10","observed",2,0.1,FALSE,TRUE,"NEEDS CLINICAL REVIEW"
"risk_group","30","observed",1,0.05,FALSE,TRUE,"NEEDS CLINICAL REVIEW"
"risk_group","High Risk","observed",250,12.64,FALSE,FALSE,"KEEP"
"risk_group","Low Risk","observed",679,34.33,FALSE,FALSE,"KEEP"
"risk_group","Standard Risk","observed",935,47.27,FALSE,FALSE,"KEEP"
"risk_group","","structurally_missing",23,1.16,FALSE,FALSE,"KEEP"
"risk_group","Unknown","unknown",88,4.45,TRUE,FALSE,"KEEP"
"flt3_itd","No","observed",1580,79.88,FALSE,FALSE,"KEEP"
"flt3_itd","NO","observed",18,0.91,FALSE,TRUE,"KEEP"
"flt3_itd","Yes","observed",303,15.32,FALSE,FALSE,"KEEP"
"flt3_itd","YES","observed",2,0.1,FALSE,TRUE,"KEEP"
"flt3_itd","","structurally_missing",7,0.35,FALSE,FALSE,"KEEP"
"flt3_itd","Unknown","unknown",68,3.44,TRUE,FALSE,"KEEP"
"npm","No","observed",1731,87.51,FALSE,FALSE,"KEEP"
"npm","NO","observed",12,0.61,FALSE,TRUE,"KEEP"
"npm","Yes","observed",147,7.43,FALSE,FALSE,"KEEP"
"npm","YES","observed",1,0.05,FALSE,TRUE,"KEEP"
"npm","","structurally_missing",21,1.06,FALSE,FALSE,"KEEP"
"npm","Unknown","unknown",66,3.34,TRUE,FALSE,"KEEP"
"cebpa","No","observed",1777,89.84,FALSE,FALSE,"KEEP"
"cebpa","NO","observed",11,0.56,FALSE,TRUE,"KEEP"
"cebpa","Yes","observed",105,5.31,FALSE,FALSE,"KEEP"
"cebpa","YES","observed",2,0.1,FALSE,TRUE,"KEEP"
"cebpa","","structurally_missing",7,0.35,FALSE,FALSE,"KEEP"
"cebpa","Unknown","unknown",76,3.84,TRUE,FALSE,"KEEP"
"fab","M0 Undifferentiated","observed",25,1.26,FALSE,FALSE,"POTENTIAL COLLAPSE BEFORE MODELING"
"fab","M1","observed",99,5.01,FALSE,FALSE,"KEEP"
"fab","M2","observed",203,10.26,FALSE,FALSE,"KEEP"
"fab","M3","observed",68,3.44,FALSE,FALSE,"KEEP"
"fab","M4","observed",206,10.41,FALSE,FALSE,"KEEP"
"fab","M5","observed",164,8.29,FALSE,FALSE,"KEEP"
"fab","M6","observed",13,0.66,FALSE,TRUE,"POTENTIAL COLLAPSE BEFORE MODELING"
"fab","M7","observed",43,2.17,FALSE,FALSE,"KEEP"
"fab","Not classified","observed",52,2.63,FALSE,FALSE,"POTENTIAL COLLAPSE BEFORE MODELING"
"fab","","structurally_missing",989,50,FALSE,FALSE,"KEEP"
"fab","Unknown","unknown",116,5.86,TRUE,FALSE,"KEEP"
"cns_disease","No","observed",856,43.28,FALSE,FALSE,"KEEP"
"cns_disease","Yes","observed",1027,51.92,FALSE,FALSE,"KEEP"
"cns_disease","","structurally_missing",7,0.35,FALSE,FALSE,"KEEP"
"cns_disease","Unknown","unknown",88,4.45,TRUE,FALSE,"KEEP"
"cytogenetics_t821","No","observed",1573,79.52,FALSE,FALSE,"KEEP"
"cytogenetics_t821","Yes","observed",270,13.65,FALSE,FALSE,"KEEP"
"cytogenetics_t821","","structurally_missing",7,0.35,FALSE,FALSE,"KEEP"
"cytogenetics_t821","Unknown","unknown",128,6.47,TRUE,FALSE,"KEEP"
"cytogenetics_inv16","No","observed",1645,83.16,FALSE,FALSE,"KEEP"
"cytogenetics_inv16","Yes","observed",199,10.06,FALSE,FALSE,"KEEP"
"cytogenetics_inv16","","structurally_missing",7,0.35,FALSE,FALSE,"KEEP"
"cytogenetics_inv16","Unknown","unknown",127,6.42,TRUE,FALSE,"KEEP"
"cytogenetics_mll","No","observed",1474,74.52,FALSE,FALSE,"KEEP"
"cytogenetics_mll","Yes","observed",370,18.71,FALSE,FALSE,"KEEP"
"cytogenetics_mll","","structurally_missing",7,0.35,FALSE,FALSE,"KEEP"
"cytogenetics_mll","Unknown","unknown",127,6.42,TRUE,FALSE,"KEEP"
"cytogenetics_monosomy7","No","observed",1806,91.3,FALSE,FALSE,"KEEP"
"cytogenetics_monosomy7","Yes","observed",38,1.92,FALSE,FALSE,"KEEP"
"cytogenetics_monosomy7","","structurally_missing",7,0.35,FALSE,FALSE,"KEEP"
"cytogenetics_monosomy7","Unknown","unknown",127,6.42,TRUE,FALSE,"KEEP"
"primary_cytogenetic_code","inv(16)","observed",202,10.21,FALSE,FALSE,"KEEP"
"primary_cytogenetic_code","MLL","observed",410,20.73,FALSE,FALSE,"KEEP"
"primary_cytogenetic_code","Normal","observed",441,22.3,FALSE,FALSE,"KEEP"
"primary_cytogenetic_code","Other","observed",535,27.05,FALSE,FALSE,"KEEP"
"primary_cytogenetic_code","PML-RARA","observed",66,3.34,FALSE,FALSE,"KEEP"
"primary_cytogenetic_code","t(8;21)","observed",270,13.65,FALSE,FALSE,"KEEP"
"primary_cytogenetic_code","","structurally_missing",7,0.35,FALSE,FALSE,"KEEP"
"primary_cytogenetic_code","Unknown","unknown",47,2.38,TRUE,FALSE,"KEEP"
