"concept","n","observed_n","missing_n","missing_percent","unknown_n","not_reported_n","structurally_missing_n","conflict_n"
"age_at_diagnosis_days",1978,1978,0,0,0,0,0,0
"sex_at_birth",1978,1978,0,0,0,0,0,0
"race",1978,1785,193,9.76,193,0,0,0
"ethnicity",1978,1909,69,3.49,69,0,0,0
"wbc_at_diagnosis",1978,1968,10,0.51,0,0,10,0
"risk_group",1978,1867,111,5.61,88,0,23,8
"flt3_itd",1978,1903,75,3.79,68,0,7,0
"npm",1978,1891,87,4.4,66,0,21,6
"cebpa",1978,1895,83,4.2,76,0,7,0
"fab",1978,873,1105,55.86,116,0,989,0
"cns_disease",1978,1883,95,4.8,88,0,7,0
"marrow_blasts",1978,1833,145,7.33,1,0,144,0
"peripheral_blasts",1978,1943,35,1.77,1,0,34,0
"cytogenetics_t821",1978,1843,135,6.83,128,0,7,0
"cytogenetics_inv16",1978,1844,134,6.77,127,0,7,0
"cytogenetics_mll",1978,1844,134,6.77,127,0,7,1
"cytogenetics_monosomy7",1978,1844,134,6.77,127,0,7,0
"primary_cytogenetic_code",1978,1924,54,2.73,47,0,7,15
