"primary_cytogenetic_code","mll","n","percent_of_row"
"MLL","Missing",0,0
"Missing","Missing",7,100
"Normal","Missing",0,0
"Other","Missing",0,0
"PML-RARA","Missing",0,0
"Unknown","Missing",0,0
"inv(16)","Missing",0,0
"t(8;21)","Missing",0,0
"MLL","No",47,11.5
"Missing","No",0,0
"Normal","No",441,100
"Other","No",519,97
"PML-RARA","No",0,0
"Unknown","No",0,0
"inv(16)","No",197,97.5
"t(8;21)","No",270,100
"MLL","Unknown",0,0
"Missing","Unknown",0,0
"Normal","Unknown",0,0
"Other","Unknown",11,2.1
"PML-RARA","Unknown",66,100
"Unknown","Unknown",47,100
"inv(16)","Unknown",3,1.5
"t(8;21)","Unknown",0,0
"MLL","Yes",363,88.5
"Missing","Yes",0,0
"Normal","Yes",0,0
"Other","Yes",5,0.9
"PML-RARA","Yes",0,0
"Unknown","Yes",0,0
"inv(16)","Yes",2,1
"t(8;21)","Yes",0,0
