"risk_group","t821","n","percent_of_row"
"10","Missing",0,0
"30","Missing",0,0
"High Risk","Missing",0,0
"Low Risk","Missing",0,0
"Missing","Missing",7,30.4
"Standard Risk","Missing",0,0
"Unknown","Missing",0,0
"10","No",0,0
"30","No",0,0
"High Risk","No",231,92.4
"Low Risk","No",408,60.1
"Missing","No",0,0
"Standard Risk","No",934,99.9
"Unknown","No",0,0
"10","Unknown",2,100
"30","Unknown",1,100
"High Risk","Unknown",16,6.4
"Low Risk","Unknown",4,0.6
"Missing","Unknown",16,69.6
"Standard Risk","Unknown",1,0.1
"Unknown","Unknown",88,100
"10","Yes",0,0
"30","Yes",0,0
"High Risk","Yes",3,1.2
"Low Risk","Yes",267,39.3
"Missing","Yes",0,0
"Standard Risk","Yes",0,0
"Unknown","Yes",0,0
