"**Characteristic**","**Overall**  
N = 1978"
"__Age at diagnosis, years__","9.5 (3.0, 14.3)"
"__Sex at birth__",NA
"female","940 (47.5%)"
"male","1,038 (52.5%)"
"__Race__",NA
"Unknown","193 (9.8%)"
"american indian or alaska native","13 (0.7%)"
"asian","91 (4.6%)"
"black or african american","232 (11.7%)"
"native hawaiian or other pacific islander","8 (0.4%)"
"other","20 (1.0%)"
"white","1,421 (71.8%)"
"__Ethnicity__",NA
"Unknown","69 (3.5%)"
"hispanic or latino","357 (18.0%)"
"not hispanic or latino","1,552 (78.5%)"
"__WBC at diagnosis, x10^3/mcL__","26.7 (8.7, 81.2)"
"__Risk group__",NA
"10","2 (0.1%)"
"30","1 (0.1%)"
"High Risk","250 (12.6%)"
"Low Risk","679 (34.3%)"
"Missing","23 (1.2%)"
"Standard Risk","935 (47.3%)"
"Unknown","88 (4.4%)"
"__FLT3/ITD__",NA
"Yes","305 (15.4%)"
"No","1,598 (80.8%)"
"Unknown","68 (3.4%)"
"Missing","7 (0.4%)"
"__NPM mutation__",NA
"Yes","148 (7.5%)"
"No","1,743 (88.1%)"
"Unknown","66 (3.3%)"
"Missing","21 (1.1%)"
"__CEBPA mutation__",NA
"Yes","107 (5.4%)"
"No","1,788 (90.4%)"
"Unknown","76 (3.8%)"
"Missing","7 (0.4%)"
"__FAB category__",NA
"M0 Undifferentiated","25 (1.3%)"
"M1","99 (5.0%)"
"M2","203 (10.3%)"
"M3","68 (3.4%)"
"M4","206 (10.4%)"
"M5","164 (8.3%)"
"M6","13 (0.7%)"
"M7","43 (2.2%)"
"Missing","989 (50.0%)"
"Not classified","52 (2.6%)"
"Unknown","116 (5.9%)"
"__CNS disease__",NA
"Yes","1,027 (51.9%)"
"No","856 (43.3%)"
"Unknown","88 (4.4%)"
"Missing","7 (0.4%)"
"__Bone marrow blasts, %__","70.0 (45.0, 86.0)"
"__Peripheral blasts, %__","42.0 (12.0, 72.0)"
"__t(8;21)__",NA
"Yes","270 (13.7%)"
"No","1,573 (79.5%)"
"Unknown","128 (6.5%)"
"Missing","7 (0.4%)"
"__inv(16)__",NA
"Yes","199 (10.1%)"
"No","1,645 (83.2%)"
"Unknown","127 (6.4%)"
"Missing","7 (0.4%)"
"__MLL__",NA
"Yes","370 (18.7%)"
"No","1,474 (74.5%)"
"Unknown","127 (6.4%)"
"Missing","7 (0.4%)"
"__Monosomy 7__",NA
"Yes","38 (1.9%)"
"No","1,806 (91.3%)"
"Unknown","127 (6.4%)"
"Missing","7 (0.4%)"
