"variable","imputation","level","n_observed","n_imputed"
"risk_group_std",1,"Low",679,63
"risk_group_std",1,"Standard",935,46
"risk_group_std",1,"High",250,5
"risk_group_std",2,"Low",679,72
"risk_group_std",2,"Standard",935,30
"risk_group_std",2,"High",250,12
"risk_group_std",3,"Low",679,77
"risk_group_std",3,"Standard",935,26
"risk_group_std",3,"High",250,11
"risk_group_std",4,"Low",679,67
"risk_group_std",4,"Standard",935,39
"risk_group_std",4,"High",250,8
"risk_group_std",5,"Low",679,68
"risk_group_std",5,"Standard",935,34
"risk_group_std",5,"High",250,12
"risk_group_std",6,"Low",679,66
"risk_group_std",6,"Standard",935,32
"risk_group_std",6,"High",250,16
"risk_group_std",7,"Low",679,68
"risk_group_std",7,"Standard",935,32
"risk_group_std",7,"High",250,14
"risk_group_std",8,"Low",679,72
"risk_group_std",8,"Standard",935,34
"risk_group_std",8,"High",250,8
"risk_group_std",9,"Low",679,80
"risk_group_std",9,"Standard",935,26
"risk_group_std",9,"High",250,8
"risk_group_std",10,"Low",679,68
"risk_group_std",10,"Standard",935,36
"risk_group_std",10,"High",250,10
"risk_group_std",11,"Low",679,80
"risk_group_std",11,"Standard",935,28
"risk_group_std",11,"High",250,6
"risk_group_std",12,"Low",679,72
"risk_group_std",12,"Standard",935,38
"risk_group_std",12,"High",250,4
"risk_group_std",13,"Low",679,70
"risk_group_std",13,"Standard",935,34
"risk_group_std",13,"High",250,10
"risk_group_std",14,"Low",679,54
"risk_group_std",14,"Standard",935,50
"risk_group_std",14,"High",250,10
"risk_group_std",15,"Low",679,81
"risk_group_std",15,"Standard",935,23
"risk_group_std",15,"High",250,10
"risk_group_std",16,"Low",679,63
"risk_group_std",16,"Standard",935,36
"risk_group_std",16,"High",250,15
"risk_group_std",17,"Low",679,64
"risk_group_std",17,"Standard",935,42
"risk_group_std",17,"High",250,8
"risk_group_std",18,"Low",679,74
"risk_group_std",18,"Standard",935,31
"risk_group_std",18,"High",250,9
"risk_group_std",19,"Low",679,77
"risk_group_std",19,"Standard",935,27
"risk_group_std",19,"High",250,10
"risk_group_std",20,"Low",679,70
"risk_group_std",20,"Standard",935,36
"risk_group_std",20,"High",250,8
"risk_group_std",21,"Low",679,82
"risk_group_std",21,"Standard",935,26
"risk_group_std",21,"High",250,6
"risk_group_std",22,"Low",679,69
"risk_group_std",22,"Standard",935,33
"risk_group_std",22,"High",250,12
"risk_group_std",23,"Low",679,82
"risk_group_std",23,"Standard",935,22
"risk_group_std",23,"High",250,10
"risk_group_std",24,"Low",679,67
"risk_group_std",24,"Standard",935,35
"risk_group_std",24,"High",250,12
"risk_group_std",25,"Low",679,74
"risk_group_std",25,"Standard",935,29
"risk_group_std",25,"High",250,11
"risk_group_std",26,"Low",679,71
"risk_group_std",26,"Standard",935,35
"risk_group_std",26,"High",250,8
"risk_group_std",27,"Low",679,68
"risk_group_std",27,"Standard",935,34
"risk_group_std",27,"High",250,12
"risk_group_std",28,"Low",679,74
"risk_group_std",28,"Standard",935,27
"risk_group_std",28,"High",250,13
"risk_group_std",29,"Low",679,71
"risk_group_std",29,"Standard",935,33
"risk_group_std",29,"High",250,10
"risk_group_std",30,"Low",679,70
"risk_group_std",30,"Standard",935,36
"risk_group_std",30,"High",250,8
"flt3_itd_std",1,"No",1598,64
"flt3_itd_std",1,"Yes",305,11
"flt3_itd_std",2,"No",1598,64
"flt3_itd_std",2,"Yes",305,11
"flt3_itd_std",3,"No",1598,65
"flt3_itd_std",3,"Yes",305,10
"flt3_itd_std",4,"No",1598,63
"flt3_itd_std",4,"Yes",305,12
"flt3_itd_std",5,"No",1598,60
"flt3_itd_std",5,"Yes",305,15
"flt3_itd_std",6,"No",1598,60
"flt3_itd_std",6,"Yes",305,15
"flt3_itd_std",7,"No",1598,69
"flt3_itd_std",7,"Yes",305,6
"flt3_itd_std",8,"No",1598,70
"flt3_itd_std",8,"Yes",305,5
"flt3_itd_std",9,"No",1598,65
"flt3_itd_std",9,"Yes",305,10
