"variable","n","n_missing","percent_missing","class"
"os_days",1978,0,0,"numeric"
"age5",1978,0,0,"numeric"
"sex_std",1978,0,0,"factor"
"os_event",1978,0,0,"integer"
"nelson_aalen",1978,0,0,"numeric"
"source_family_aml1031",1978,0,0,"integer"
"log2_wbc",1978,10,0.51,"numeric"
"risk_group_std",1978,114,5.76,"factor"
"flt3_itd_std",1978,75,3.79,"factor"
"npm_std",1978,87,4.4,"factor"
"cebpa_std",1978,83,4.2,"factor"
"cytogenetics_t821_std",1978,135,6.83,"factor"
"cytogenetics_inv16_std",1978,134,6.77,"factor"
"cytogenetics_mll_std",1978,134,6.77,"factor"
"cytogenetics_monosomy7_std",1978,134,6.77,"factor"
"marrow_blasts_num",1978,145,7.33,"numeric"
"peripheral_blasts_num",1978,35,1.77,"numeric"
"cns_disease_std",1978,95,4.8,"factor"
"race_aux",1978,193,9.76,"factor"
"ethnicity_aux",1978,69,3.49,"factor"
