"variable","imputation","iteration","chain_mean"
"log2_wbc","Chain 1",1,5.60327087290843
"log2_wbc","Chain 1",2,4.95807635281429
"log2_wbc","Chain 1",3,6.22037754805596
"log2_wbc","Chain 1",4,4.5335843016205
"log2_wbc","Chain 1",5,5.00702555656765
"log2_wbc","Chain 1",6,5.4352616887379
"log2_wbc","Chain 1",7,5.58590115959502
"log2_wbc","Chain 1",8,6.1223000543723
"log2_wbc","Chain 1",9,5.55606481629819
"log2_wbc","Chain 1",10,4.94193876442078
"log2_wbc","Chain 1",11,5.64592028542318
"log2_wbc","Chain 1",12,5.95868485779528
"log2_wbc","Chain 1",13,5.78993349160654
"log2_wbc","Chain 1",14,4.94276144506152
"log2_wbc","Chain 1",15,5.54112386563429
"log2_wbc","Chain 1",16,5.57582697952182
"log2_wbc","Chain 1",17,4.89300511906859
"log2_wbc","Chain 1",18,5.48372228742654
"log2_wbc","Chain 1",19,4.63948868757149
"log2_wbc","Chain 1",20,4.12257840204864
"log2_wbc","Chain 2",1,4.05105063127897
"log2_wbc","Chain 2",2,3.91421756935332
"log2_wbc","Chain 2",3,4.39111775909994
"log2_wbc","Chain 2",4,5.08599705252681
"log2_wbc","Chain 2",5,5.09023857001478
"log2_wbc","Chain 2",6,4.18085052059513
"log2_wbc","Chain 2",7,4.75707483626808
"log2_wbc","Chain 2",8,4.96387053388619
"log2_wbc","Chain 2",9,5.41362656664125
"log2_wbc","Chain 2",10,4.60660784135512
"log2_wbc","Chain 2",11,4.41815074761571
"log2_wbc","Chain 2",12,4.47056205426612
"log2_wbc","Chain 2",13,4.96346360185916
"log2_wbc","Chain 2",14,5.03828478248689
"log2_wbc","Chain 2",15,4.65685768941971
"log2_wbc","Chain 2",16,5.48498185526575
"log2_wbc","Chain 2",17,4.65530892096784
"log2_wbc","Chain 2",18,5.26573072181251
"log2_wbc","Chain 2",19,5.6531822417167
"log2_wbc","Chain 2",20,4.84139612177417
"log2_wbc","Chain 3",1,4.80432638417536
"log2_wbc","Chain 3",2,5.13990221905773
"log2_wbc","Chain 3",3,4.85154686981975
"log2_wbc","Chain 3",4,3.7584378618141
"log2_wbc","Chain 3",5,5.16050749638846
"log2_wbc","Chain 3",6,4.22046112572192
"log2_wbc","Chain 3",7,4.35415894089277
"log2_wbc","Chain 3",8,5.65572120801957
"log2_wbc","Chain 3",9,5.89213640837302
"log2_wbc","Chain 3",10,4.54031482117726
"log2_wbc","Chain 3",11,4.43857366199453
"log2_wbc","Chain 3",12,4.92291426686872
"log2_wbc","Chain 3",13,4.35275832514708
"log2_wbc","Chain 3",14,4.26484033135795
"log2_wbc","Chain 3",15,4.6553509412684
"log2_wbc","Chain 3",16,5.02495845794357
"log2_wbc","Chain 3",17,5.43242015752297
"log2_wbc","Chain 3",18,5.492290698292
"log2_wbc","Chain 3",19,4.55376744797353
"log2_wbc","Chain 3",20,3.87158100910795
"log2_wbc","Chain 4",1,3.99884890600808
"log2_wbc","Chain 4",2,5.32337764580081
"log2_wbc","Chain 4",3,5.06488628388106
"log2_wbc","Chain 4",4,4.98012586610447
"log2_wbc","Chain 4",5,4.75161712832091
"log2_wbc","Chain 4",6,4.98553826919037
"log2_wbc","Chain 4",7,4.69072097121614
"log2_wbc","Chain 4",8,4.59942560430355
"log2_wbc","Chain 4",9,4.62963229356749
"log2_wbc","Chain 4",10,3.78546736698125
"log2_wbc","Chain 4",11,4.75091628432871
"log2_wbc","Chain 4",12,3.62146004674564
"log2_wbc","Chain 4",13,4.74058787964036
"log2_wbc","Chain 4",14,3.82042262025976
"log2_wbc","Chain 4",15,5.7542762339308
"log2_wbc","Chain 4",16,5.80159016948843
"log2_wbc","Chain 4",17,5.46408886281901
"log2_wbc","Chain 4",18,5.27615280590638
"log2_wbc","Chain 4",19,5.24801998593117
"log2_wbc","Chain 4",20,5.14412043255234
"log2_wbc","Chain 5",1,3.98929681191879
"log2_wbc","Chain 5",2,4.89116393734536
"log2_wbc","Chain 5",3,4.09346338756659
"log2_wbc","Chain 5",4,3.63989681061126
"log2_wbc","Chain 5",5,5.03286993916564
"log2_wbc","Chain 5",6,6.35331577036111
"log2_wbc","Chain 5",7,5.91038499220751
"log2_wbc","Chain 5",8,4.73206300435694
"log2_wbc","Chain 5",9,5.27664717468108
"log2_wbc","Chain 5",10,5.07278758739634
"log2_wbc","Chain 5",11,5.75518774333145
"log2_wbc","Chain 5",12,5.30816011054264
"log2_wbc","Chain 5",13,5.1271538376842
"log2_wbc","Chain 5",14,4.57759767642073
"log2_wbc","Chain 5",15,4.44431335757356
"log2_wbc","Chain 5",16,4.22772510541155
"log2_wbc","Chain 5",17,5.52042000449165
"log2_wbc","Chain 5",18,5.5659710937692
"log2_wbc","Chain 5",19,4.8371918552381
"log2_wbc","Chain 5",20,5.50267586418508
"log2_wbc","Chain 6",1,5.60858937882737
"log2_wbc","Chain 6",2,6.32405391351567
"log2_wbc","Chain 6",3,4.20479935397579
"log2_wbc","Chain 6",4,4.74513589804545
"log2_wbc","Chain 6",5,3.86585347028382
"log2_wbc","Chain 6",6,3.86724840634344
"log2_wbc","Chain 6",7,4.44744548790674
"log2_wbc","Chain 6",8,4.71549077344439
"log2_wbc","Chain 6",9,5.2289626874602
"log2_wbc","Chain 6",10,5.22778330527231
"log2_wbc","Chain 6",11,5.09451824715669
"log2_wbc","Chain 6",12,5.68377015423884
"log2_wbc","Chain 6",13,5.91939450801295
"log2_wbc","Chain 6",14,5.72685536184981
"log2_wbc","Chain 6",15,5.47557331488829
"log2_wbc","Chain 6",16,5.42723495553807
"log2_wbc","Chain 6",17,4.8921311450927
"log2_wbc","Chain 6",18,5.23860069020945
"log2_wbc","Chain 6",19,5.37161909271359
"log2_wbc","Chain 6",20,4.90222572349431
"log2_wbc","Chain 7",1,4.35863525327069
"log2_wbc","Chain 7",2,4.12709703830215
"log2_wbc","Chain 7",3,4.4622211228797
"log2_wbc","Chain 7",4,4.81801044808597
"log2_wbc","Chain 7",5,4.22342920296941
"log2_wbc","Chain 7",6,4.75670437087474
"log2_wbc","Chain 7",7,5.02823311827412
"log2_wbc","Chain 7",8,4.14404270450042
"log2_wbc","Chain 7",9,3.22887360801081
"log2_wbc","Chain 7",10,4.52048343759617
"log2_wbc","Chain 7",11,5.23101835371506
"log2_wbc","Chain 7",12,5.30952862346325
"log2_wbc","Chain 7",13,4.79250495758089
"log2_wbc","Chain 7",14,4.48928126308884
"log2_wbc","Chain 7",15,4.83133526912171
"log2_wbc","Chain 7",16,5.21162794409702
"log2_wbc","Chain 7",17,4.45045233016978
"log2_wbc","Chain 7",18,5.31047271821652
"log2_wbc","Chain 7",19,5.40888241951256
"log2_wbc","Chain 7",20,5.09263281491126
"log2_wbc","Chain 8",1,5.52576085355904
"log2_wbc","Chain 8",2,4.38471771773216
"log2_wbc","Chain 8",3,4.32842761817833
"log2_wbc","Chain 8",4,4.94867049687292
"log2_wbc","Chain 8",5,4.69884979289447
"log2_wbc","Chain 8",6,4.78954843603835
"log2_wbc","Chain 8",7,5.67271965461307
"log2_wbc","Chain 8",8,4.84362908664497
"log2_wbc","Chain 8",9,4.28841745119301
"log2_wbc","Chain 8",10,4.56191301952551
"log2_wbc","Chain 8",11,4.75025653201606
"log2_wbc","Chain 8",12,4.78452553284125
"log2_wbc","Chain 8",13,4.29621180875
"log2_wbc","Chain 8",14,4.96655965884417
"log2_wbc","Chain 8",15,5.03054318940072
"log2_wbc","Chain 8",16,5.49179088961896
"log2_wbc","Chain 8",17,5.64676617330197
"log2_wbc","Chain 8",18,4.93779554258088
"log2_wbc","Chain 8",19,5.3371527382097
"log2_wbc","Chain 8",20,5.96009691978899
"log2_wbc","Chain 9",1,5.29806313895772
"log2_wbc","Chain 9",2,4.992545582612
"log2_wbc","Chain 9",3,4.68820625502985
