"term","predictor_label","hr_mi","hr_lcl_mi","hr_ucl_mi","p_value_mi","hr_cc","hr_lcl_cc","hr_ucl_cc","p_value_cc","n","deaths","direction_same","hr_ratio_cc_over_mi","qualitative","model"
"age5","Age at diagnosis (per 5 years)",1.11943125812627,1.0454231936934,1.19867853442486,0.00125999112733656,1.13794716800968,1.06203553042793,1.21928477916315,0.000243835699530917,1861,670,TRUE,1.01654046172911,"similar","primary_clinical"
"sex_stdMale","Male vs Female",1.01740524896249,0.875808405609934,1.18189484593442,0.821211588733342,1.01513673827763,0.872041223323359,1.18171316887256,0.846338530985421,1861,670,TRUE,0.997770297836416,"similar","primary_clinical"
"log2_wbc","WBC (per doubling)",1.08333910747167,1.0455189366004,1.1225273696081,1.13467298163854e-05,1.07133325613262,1.03334328699893,1.11071989351097,0.000183644923110615,1861,670,TRUE,0.988917734755219,"similar","primary_clinical"
"risk_group_stdStandard","Standard vs Low risk",3.85160653213844,3.10464033225902,4.77829033020944,5.26052695669467e-31,4.0131241437362,3.2316587018306,4.98356010921434,2.88398618525894e-36,1861,670,TRUE,1.04193512765388,"similar","primary_clinical"
"risk_group_stdHigh","High vs Low risk",3.50030622392416,2.7063831281466,4.52712830412624,2.63147896777071e-20,3.62352752237684,2.79910247276216,4.69077207182978,1.44469562729105e-22,1861,670,TRUE,1.0352030052715,"similar","primary_clinical"
"age5","Age at diagnosis (per 5 years)",1.12560335062413,1.04960598429788,1.20710335296326,0.000937623443155717,1.13574998691135,1.05727644800161,1.2200480160201,0.000492790816909342,1825,648,TRUE,1.00901439772864,"similar","secondary_molecular"
"sex_stdMale","Male vs Female",0.983288086579097,0.845570450798429,1.14343572471747,0.826480793757916,0.988648692332972,0.846277973700136,1.15497066829962,0.88557836457438,1825,648,TRUE,1.00545171433178,"similar","secondary_molecular"
"log2_wbc","WBC (per doubling)",1.09428759506157,1.05520528106758,1.13481742575636,1.43246086236876e-06,1.08087459788643,1.04108499680779,1.12218493200689,4.82464695563578e-05,1825,648,TRUE,0.987742712943405,"similar","secondary_molecular"
"flt3_itd_stdYes","FLT3/ITD Yes vs No",1.01322896195318,0.817262856248131,1.25618449620206,0.904468230454604,0.937888162656198,0.750909812255459,1.1714245722912,0.571899937527779,1825,648,FALSE,0.925642868368322,"similar","secondary_molecular"
"npm_stdYes","NPM mutation Yes vs No",0.304234256638549,0.206047299558279,0.449209880987695,3.43435862523289e-09,0.27551443316602,0.182894236261199,0.415038792006465,6.98102537890466e-10,1825,648,TRUE,0.905599639600578,"similar","secondary_molecular"
"cebpa_stdYes","CEBPA mutation Yes vs No",0.193817993224949,0.11540152785636,0.325519212748239,9.27090098403748e-10,0.204370426849272,0.121026936025094,0.345107235978389,2.85084258744767e-09,1825,648,TRUE,1.05444506698651,"similar","secondary_molecular"
"cytogenetics_t821_stdYes","t(8;21) Yes vs No",0.356286908446123,0.265422392497473,0.478257919144122,1.59834505633754e-11,0.33794800988096,0.251290653083707,0.454489078606747,7.14721414740488e-13,1825,648,TRUE,0.948527722657159,"similar","secondary_molecular"
"cytogenetics_inv16_stdYes","inv(16) Yes vs No",0.220659788353536,0.149442375228192,0.325816169087776,1.42046778638427e-13,0.201408646652833,0.135539993330527,0.299287626845334,2.19789301758987e-15,1825,648,TRUE,0.912756457149054,"similar","secondary_molecular"
"cytogenetics_mll_stdYes","MLL/KMT2A rearrangement Yes vs No",0.986195588815985,0.812748034081088,1.19665837211127,0.887826105891485,0.966096486941028,0.795249823119573,1.17364681505809,0.728307753008883,1825,648,TRUE,0.979619558125293,"similar","secondary_molecular"
"cytogenetics_monosomy7_stdYes","Monosomy 7 Yes vs No",1.72281704071004,1.13203437054216,2.62191558224453,0.0112232043508233,1.70652766135943,1.13059148188688,2.57585229116053,0.0109508331061518,1825,648,TRUE,0.990544916282063,"similar","secondary_molecular"
