"item","value"
"primary_n","1978"
"primary_deaths","695"
"primary_censored","1283"
"primary_df","5"
"primary_events_per_df","139"
"secondary_df","10"
"secondary_events_per_df","69.5"
"mi_m","30"
"mi_seed","20260814"
"mi_maxit","20"
"primary_cc_n","1861"
"primary_cc_deaths","670"
"primary_cc_percent","94.08"
"secondary_cc_n","1825"
"secondary_cc_deaths","648"
"secondary_cc_percent","92.26"
"primary_concordance_mi_mean","0.658"
"secondary_concordance_mi_mean","0.665"
"primary_concordance_cc","0.656"
"secondary_concordance_cc","0.662"
"ties","efron"
"ph_method","cox.zph scaled Schoenfeld"
"ph_remediation_performed","FALSE"
"km_risk_group","yes"
"km_flt3","yes"
"km_log_rank","no"
"influence_auto_deleted","false"
"mi_plausibility_issues","0"
