"model","source","term","base_term","role","rho","chisq","df","p","p_min","p_max","n_p_lt_05","classification"
"primary_clinical","mi_median","GLOBAL","GLOBAL","global",,10.463283218489,5,0.0631346998101458,0.0402304065343638,0.08977621113783,6,
"primary_clinical","mi_median","age5","age5","nuisance",0.0149002013649644,0.0879804661324957,1,0.766763792577429,0.698575661986932,0.808706575265227,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"primary_clinical","mi_median","log2_wbc","log2_wbc","important",-0.0965675426125314,6.90595884811314,1,0.00859094976031683,0.00700441795360851,0.0107841066751856,30,"MINOR DEPARTURE"
"primary_clinical","mi_median","risk_group_std","risk_group_std","important",0.0475966927197372,1.61734057286715,2,0.445460152570934,0.307820299576365,0.738334960657261,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"primary_clinical","mi_median","sex_std","sex_std","nuisance",0.0473856096883677,1.63751832736657,1,0.200666306078925,0.185354314278923,0.213825553274025,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"secondary_molecular","mi_median","GLOBAL","GLOBAL","global",,18.8175362535584,10,0.0426538696042227,0.0149525570167987,0.103635445788517,18,
"secondary_molecular","mi_median","age5","age5","nuisance",-0.000580004402419394,0.113752850241934,1,0.735911369567421,0.664464666200912,0.774463202293523,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"secondary_molecular","mi_median","cebpa_std","cebpa_std","important",-0.033649211137329,0.581139177225559,1,0.445872078427177,0.221044546614162,0.721889916263671,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"secondary_molecular","mi_median","cytogenetics_inv16_std","cytogenetics_inv16_std","important",0.00207263135920821,0.0834525087123846,1,0.772686536461148,0.26060412411454,0.988060559014839,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"secondary_molecular","mi_median","cytogenetics_mll_std","cytogenetics_mll_std","important",-0.0345062552699949,1.09868600061361,1,0.294573849867319,0.17793489353537,0.435957437287854,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"secondary_molecular","mi_median","cytogenetics_monosomy7_std","cytogenetics_monosomy7_std","important",-0.00267153643454025,0.024325520627701,1,0.876305238440369,0.570227699221753,0.995483485488817,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"secondary_molecular","mi_median","cytogenetics_t821_std","cytogenetics_t821_std","important",-0.0638609170657968,1.92535537391004,1,0.165311365000371,0.0680881615182953,0.462146298406759,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"secondary_molecular","mi_median","flt3_itd_std","flt3_itd_std","important",0.0615599993012701,2.40983363438027,1,0.120591592385883,0.0684322549612947,0.27553890046495,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"secondary_molecular","mi_median","log2_wbc","log2_wbc","nuisance",-0.106842576941373,6.40596252832917,1,0.011373921669971,0.00803635639936309,0.0137969647235954,30,"MINOR DEPARTURE"
"secondary_molecular","mi_median","npm_std","npm_std","important",-0.0652388859767886,1.98636195594101,1,0.159086851358446,0.0767394266994222,0.375383652899757,0,"NO MATERIAL EVIDENCE OF VIOLATION"
"secondary_molecular","mi_median","sex_std","sex_std","nuisance",0.04267750953903,1.5960356204039,1,0.206465985350064,0.195407027412095,0.22250013028921,0,"NO MATERIAL EVIDENCE OF VIOLATION"
