"model","term","predictor_label","comparison_or_unit","beta","se","statistic","p_value","hr","hr_lcl","hr_ucl","n","deaths","percent_of_primary_cohort"
"secondary_molecular","age5","Age at diagnosis (per 5 years)","per 5-year increase",0.127293214133144,0.0365297535035391,3.48464476008061,0.000492790816909342,1.13574998691135,1.05727644800161,1.2200480160201,1825,648,92.26
"secondary_molecular","sex_stdMale","Male vs Female","Male vs Female",-0.0114162254956132,0.0793336892727683,-0.143901356413181,0.88557836457438,0.988648692332972,0.846277973700136,1.15497066829962,1825,648,92.26
"secondary_molecular","log2_wbc","WBC (per doubling)","per doubling of WBC",0.0777705262724151,0.0191366224469372,4.0639630367407,4.82464695563578e-05,1.08087459788643,1.04108499680779,1.12218493200689,1825,648,92.26
"secondary_molecular","flt3_itd_stdYes","FLT3/ITD Yes vs No","Yes vs No",-0.0641245666619374,0.113443491679991,-0.565255579780853,0.571899937527779,0.937888162656198,0.750909812255459,1.1714245722912,1825,648,92.26
"secondary_molecular","npm_stdYes","NPM mutation Yes vs No","Yes vs No",-1.28911526277406,0.209050767055118,-6.16651773602042,6.98102537890466e-10,0.27551443316602,0.182894236261199,0.415038792006465,1825,648,92.26
"secondary_molecular","cebpa_stdYes","CEBPA mutation Yes vs No","Yes vs No",-1.58782111385365,0.267311561161867,-5.93996423855443,2.85084258744767e-09,0.204370426849272,0.121026936025094,0.345107235978389,1825,648,92.26
"secondary_molecular","cytogenetics_t821_stdYes","t(8;21) Yes vs No","Yes vs No",-1.08486321225039,0.15116697014129,-7.17658898128611,7.14721414740488e-13,0.33794800988096,0.251290653083707,0.454489078606747,1825,648,92.26
"secondary_molecular","cytogenetics_inv16_stdYes","inv(16) Yes vs No","Yes vs No",-1.60241936688424,0.202079816119455,-7.92963591147074,2.19789301758987e-15,0.201408646652833,0.135539993330527,0.299287626845334,1825,648,92.26
"secondary_molecular","cytogenetics_mll_stdYes","MLL/KMT2A rearrangement Yes vs No","Yes vs No",-0.0344915667958628,0.0992913163268526,-0.347377475411058,0.728307753008883,0.966096486941028,0.795249823119573,1.17364681505809,1825,648,92.26
"secondary_molecular","cytogenetics_monosomy7_stdYes","Monosomy 7 Yes vs No","Yes vs No",0.534460698643997,0.210064965894113,2.54426384889617,0.0109508331061518,1.70652766135943,1.13059148188688,2.57585229116053,1825,648,92.26
