"variable","strata","time_years","n_risk","n_event","survival","surv_lcl","surv_ucl","n_in_figure"
"risk_group_std","risk_group_std=Low",1,616,48,0.928357977133762,0.9060573888759,0.945524074506606,1864
"risk_group_std","risk_group_std=Low",3,500,48,0.854396566005919,0.825063713450172,0.879174635844102,1864
"risk_group_std","risk_group_std=Low",5,327,13,0.827757671697459,0.795545200859001,0.855362233198635,1864
"risk_group_std","risk_group_std=Standard",1,699,206,0.773932981138232,0.745352537582094,0.799747231039572,1864
"risk_group_std","risk_group_std=Standard",3,459,199,0.549824276091084,0.516578202085424,0.581773466490853,1864
"risk_group_std","risk_group_std=Standard",5,254,27,0.512040559047465,0.478127526950343,0.544880322820339,1864
"risk_group_std","risk_group_std=High",1,178,67,0.728764596747791,0.66866534990409,0.779780681179972,1864
"risk_group_std","risk_group_std=High",3,117,44,0.543984678942706,0.479004307068135,0.604345763324852,1864
"risk_group_std","risk_group_std=High",5,68,12,0.475557816718593,0.408216801217227,0.539777435626561,1864
"flt3_itd_std","flt3_itd_std=No",1,1281,269,0.827744168255128,0.808080676585694,0.845589316433956,1903
"flt3_itd_std","flt3_itd_std=No",3,938,235,0.672522322748081,0.648388329966372,0.695407663654255,1903
"flt3_itd_std","flt3_itd_std=No",5,571,38,0.640124351003477,0.614969418191957,0.664109214822638,1903
"flt3_itd_std","flt3_itd_std=Yes",1,239,60,0.800793414319331,0.75103887601204,0.841660435346434,1903
"flt3_itd_std","flt3_itd_std=Yes",3,153,63,0.584956896961527,0.526420996869485,0.638837181227951,1903
"flt3_itd_std","flt3_itd_std=Yes",5,89,13,0.527355718059166,0.46671626940277,0.584319477694893,1903
