workbook,concept,n_both_observed,n_agreements,n_disagreements,agreement_percent,n_missing_a_only,n_missing_b_only,n_missing_both
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,vital_status,89,89,0,100.0,0,0,0
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,os_time_gdc_candidate_vs_supplement,89,89,0,100.0,0,0,0
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,age_at_diagnosis,89,89,0,100.0,0,0,0
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,sex_gdc_sex_at_birth_vs_supplement_gender,89,89,0,100.0,0,0,0
TARGET_AML_ClinicalData_AML1031_20230720.xlsx,vital_status,1069,1069,0,100.0,0,0,0
TARGET_AML_ClinicalData_AML1031_20230720.xlsx,os_time_gdc_candidate_vs_supplement,1069,1067,2,99.81,0,0,0
TARGET_AML_ClinicalData_AML1031_20230720.xlsx,age_at_diagnosis,1069,1069,0,100.0,0,0,0
TARGET_AML_ClinicalData_AML1031_20230720.xlsx,sex_gdc_sex_at_birth_vs_supplement_gender,1069,1069,0,100.0,0,0,0
TARGET_AML_ClinicalData_Discovery_20230720.xlsx,vital_status,447,446,1,99.78,0,0,18
TARGET_AML_ClinicalData_Discovery_20230720.xlsx,os_time_gdc_candidate_vs_supplement,447,406,41,90.83,0,0,18
TARGET_AML_ClinicalData_Discovery_20230720.xlsx,age_at_diagnosis,447,447,0,100.0,0,0,18
TARGET_AML_ClinicalData_Discovery_20230720.xlsx,sex_gdc_sex_at_birth_vs_supplement_gender,447,447,0,100.0,0,0,18
TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,vital_status,449,449,0,100.0,0,0,0
TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,os_time_gdc_candidate_vs_supplement,449,449,0,100.0,0,0,0
TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,age_at_diagnosis,449,449,0,100.0,0,0,0
TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,sex_gdc_sex_at_birth_vs_supplement_gender,449,449,0,100.0,0,0,0
TARGET_AML_ClinicalData_Validation_20230720.xlsx,vital_status,614,614,0,100.0,0,0,12
TARGET_AML_ClinicalData_Validation_20230720.xlsx,os_time_gdc_candidate_vs_supplement,614,423,191,68.89,0,0,12
TARGET_AML_ClinicalData_Validation_20230720.xlsx,age_at_diagnosis,614,614,0,100.0,0,0,12
TARGET_AML_ClinicalData_Validation_20230720.xlsx,sex_gdc_sex_at_birth_vs_supplement_gender,614,614,0,100.0,0,0,12
