file_a,file_b,concept,value_kind,n_shared_patients,n_both_observed,n_agreements,n_disagreements,agreement_percent,n_missing_a_only,n_missing_b_only,n_missing_both,diff_min,diff_max,abs_diff_median
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,vital_status,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,sex,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,race,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,ethnicity,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,risk_group,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,flt3_itd,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,npm,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,cebpa,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,fab,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,cns_disease,categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,os_time,numeric,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,age_at_diagnosis,numeric,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,wbc,numeric,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,marrow_blasts,numeric,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,peripheral_blasts,numeric,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,cytogenetics:t(8;21),categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,cytogenetics:inv(16),categorical,0,0,0,0,0.0,0,0,0,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,cytogenetics:MLL,categorical,0,0,0,0,0.0,0,0,0,,,
