file_a,file_b,n_shared,n_a,n_b
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,89,89,89
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,0,89,1069
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,1,89,465
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,0,89,449
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,TARGET_AML_ClinicalData_Validation_20230720.xlsx,0,89,626
TARGET_AML_ClinicalData_AML1031_20230720.xlsx,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,0,1069,89
TARGET_AML_ClinicalData_AML1031_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,1069,1069,1069
TARGET_AML_ClinicalData_AML1031_20230720.xlsx,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,4,1069,465
TARGET_AML_ClinicalData_AML1031_20230720.xlsx,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,2,1069,449
TARGET_AML_ClinicalData_AML1031_20230720.xlsx,TARGET_AML_ClinicalData_Validation_20230720.xlsx,4,1069,626
TARGET_AML_ClinicalData_Discovery_20230720.xlsx,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,1,465,89
TARGET_AML_ClinicalData_Discovery_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,4,465,1069
TARGET_AML_ClinicalData_Discovery_20230720.xlsx,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,465,465,465
TARGET_AML_ClinicalData_Discovery_20230720.xlsx,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,110,465,449
TARGET_AML_ClinicalData_Discovery_20230720.xlsx,TARGET_AML_ClinicalData_Validation_20230720.xlsx,111,465,626
TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,0,449,89
TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,2,449,1069
TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,110,449,465
TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,449,449,449
TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,TARGET_AML_ClinicalData_Validation_20230720.xlsx,363,449,626
TARGET_AML_ClinicalData_Validation_20230720.xlsx,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,0,626,89
TARGET_AML_ClinicalData_Validation_20230720.xlsx,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,4,626,1069
TARGET_AML_ClinicalData_Validation_20230720.xlsx,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,111,626,465
TARGET_AML_ClinicalData_Validation_20230720.xlsx,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,363,626,449
TARGET_AML_ClinicalData_Validation_20230720.xlsx,TARGET_AML_ClinicalData_Validation_20230720.xlsx,626,626,626
