workbook,sheet,column,is_identifier,n_rows,n_missing,pct_missing,n_unique_observed,inferred_type,numeric_min,numeric_max,sample_values
TARGET_AML_CDE_20230524.xlsx,Data Elements,Column Header,False,65,0,0.0,65,str,,,
TARGET_AML_CDE_20230524.xlsx,Data Elements,"Data Element Long Name
Proposed change to Long Name moved to Question Text",False,65,0,0.0,65,str,,,
TARGET_AML_CDE_20230524.xlsx,Data Elements,Original Question Text,False,65,0,0.0,65,str,,,
TARGET_AML_CDE_20230524.xlsx,Data Elements,Modified Question Text,False,65,59,90.77,6,str,,,
TARGET_AML_CDE_20230524.xlsx,Data Elements,Original Definition,False,65,56,86.15,9,str,,,
TARGET_AML_CDE_20230524.xlsx,Data Elements,Modified Definition,False,65,0,0.0,65,str,,,
TARGET_AML_CDE_20230524.xlsx,Data Elements,Permissible Values,False,65,0,0.0,35,str,,,
TARGET_AML_CDE_20230524.xlsx,Data Elements,Data Element Public ID,False,65,0,0.0,64,mixed,64553.0,6343814.0,
TARGET_AML_CDE_20230524.xlsx,Data Elements,Added TARGET Note,False,65,48,73.85,5,str,,,
TARGET_AML_CDE_20230524.xlsx,Data Elements,unnamed_10,False,65,65,100.0,0,empty,,,
TARGET_AML_CDE_20230524.xlsx,Data Elements,unnamed_11,False,65,65,100.0,0,empty,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,TARGET USI,True,89,0,0.0,89,str,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,Gender,False,89,0,0.0,2,str,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,Race,False,89,13,14.61,5,str,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,Ethnicity,False,89,6,6.74,2,str,,,
TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,Age at Diagnosis in Days,False,89,0,0.0,89,int,235.0,7117.0,
