field_path,source_entity,exists_in_mapping,gdc_type,gdc_description,n_cases,n_available,n_missing,pct_missing,n_usable,value_kind,numeric_min,numeric_max,n_negative_values,n_zero_values,n_distinct,distinct_values,n_cases_with_multiple_nonnull,n_cases_with_disagreeing_values,n_nested_records_observed,n_gdc_missing_code_records
case_id,case,True,keyword,,2492,2492,0,0.0,2492,categorical,,,,,2492,ee9a74b1-21e3-5f3c-8fc7-93104881ac55 (n=1) | c6f1e8f2-ee24-5ffa-95dd-8d7a4c012197 (n=1) | 98d321cb-2b51-5b4f-9fdd-27810678ff6d (n=1) | cc9b31a3-efcf-50b7-b880-ec46fa965bd1 (n=1) | edbd72b9-2f9b-57bf-a838-79518974b60a (n=1) | 18f71a85-d5b1-5c56-8661-eb7d778c3d8f (n=1) | a792972c-906b-59cc-be81-961531163fef (n=1) | 8bab8c51-fff1-5b25-8604-5e6aee2ba532 (n=1) | db5ee557-8dcb-5b04-9cbd-e5884a940ea6 (n=1) | 2c3b0af4-354f-5edd-9c87-839aa5344f2c (n=1) | 8256d530-3de8-5470-8092-72296dbfd73f (n=1) | 3c43e3d0-c696-5880-aac0-312cf9608657 (n=1) | f9a752a6-82c2-542e-bdb6-7db4b74b6037 (n=1) | 0113b21f-c0d9-5e77-89b1-57a78f0f9a1e (n=1) | 1c67540f-fba5-5144-bf50-62527ebb75b0 (n=1) | 45c94f82-4c86-51c1-a15b-d1854a210bca (n=1) | 67fabb59-77d9-586a-bbd9-c377a12bcdc0 (n=1) | 1d5607b0-e785-5266-afd0-7c2dc8b4222a (n=1) | 7cd0c553-cf64-5a95-9b21-527688764d70 (n=1) | 7a388a72-91a5-5246-86a5-0446aade136d (n=1) | a488e773-9085-592e-bbee-e38043d3d8a8 (n=1) | a8d691b5-7279-5937-8309-bace8a9be6ca (n=1) | 4426fc30-8af8-5db7-a1f6-ea6c07eecdc7 (n=1) | dacccbf4-0c8b-5c93-98cf-6ea31262676b (n=1) | 6ac008ae-66a0-5a39-b681-b7ce2e5c61cf (n=1) | 1d03d68c-1bb2-5d17-bbd8-ad2f856d2f22 (n=1) | 8b310cd1-0b4c-5e30-8523-fa7911175a2e (n=1) | 5ee215c6-388e-5c15-89e3-619aa1358edf (n=1) | 0a2e1323-2602-5bd9-aa82-19421f6953db (n=1) | a5eac13f-0680-5d30-b654-10822e07d55d (n=1) | 08099d2d-0adf-5bf3-b6f8-9c9371f1aa41 (n=1) | c25a89fd-9b4f-5910-8712-ca737cfa9459 (n=1) | f89b80eb-b92a-5b31-8014-1a1a5dd2bb9a (n=1) | 4a94ea89-0c85-5d33-9147-8cc59c95ad74 (n=1) | 396161ed-8983-5d0d-ab8d-8dc24fe2b415 (n=1) | 267bd6c6-8509-5a53-84e0-35101eb58868 (n=1) | b8bd88f6-747f-527c-8cdc-56b3df410b63 (n=1) | 4c526b7f-95fb-5d19-98d1-d58fb25ad871 (n=1) | 44cee0d5-66e6-5870-a2b4-2bf8f6b4ff1a (n=1) | e9573f86-31e2-58e6-b3b3-e64d4dac80f2 (n=1),0,0,2492,0
submitter_id,case,True,keyword,A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the uuid for identifying or recalling a node.,2492,2492,0,0.0,2492,categorical,,,,,2492,TARGET-20-PASFYF (n=1) | TARGET-20-PASDXF (n=1) | TARGET-20-PASDVA (n=1) | TARGET-20-PASDUD (n=1) | TARGET-20-PASARM (n=1) | TARGET-20-PASEFD (n=1) | TARGET-20-PARXBT (n=1) | TARGET-20-PASDZT (n=1) | TARGET-20-PASELK (n=1) | TARGET-20-PARNPC (n=1) | TARGET-20-PARDRM (n=1) | TARGET-20-PARNJC (n=1) | TARGET-20-PARDFM (n=1) | TARGET-20-PARNIL (n=1) | TARGET-20-PARNIN (n=1) | TARGET-20-PATMNT (n=1) | TARGET-20-PATMNY (n=1) | TARGET-20-PARCTW (n=1) | TARGET-20-PARCRW (n=1) | TARGET-20-PARCVP (n=1) | TARGET-20-PARDEV (n=1) | TARGET-20-PARNXW (n=1) | TARGET-20-PARPBA (n=1) | TARGET-20-PATGDZ (n=1) | TARGET-20-PARNZW (n=1) | TARGET-20-PARMMZ (n=1) | TARGET-20-PATGAN (n=1) | TARGET-20-PATFZR (n=1) | TARGET-20-PARMLW (n=1) | TARGET-20-PATDFZ (n=1) | TARGET-20-PARMZC (n=1) | TARGET-20-PATCWP (n=1) | TARGET-20-PASDET (n=1) | TARGET-20-PARNIH (n=1) | TARGET-20-PARKLC (n=1) | TARGET-20-PATCLR (n=1) | TARGET-20-PARJWH (n=1) | TARGET-20-PARJVU (n=1) | TARGET-20-PATCTM (n=1) | TARGET-20-PATCVL (n=1),0,0,2492,0
project.project_id,project,True,keyword,,2492,2492,0,0.0,2492,categorical,,,,,1,TARGET-AML (n=2492),0,0,2492,0
disease_type,case,True,keyword,"The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).",2492,2492,0,0.0,2422,categorical,,,,,2,Myeloid Leukemias (n=2422) | Not Applicable (n=70),0,0,2492,70
primary_site,case,True,keyword,"The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.",2492,2491,1,0.04,2422,categorical,,,,,2,Hematopoietic and reticuloendothelial systems (n=2422) | Unknown (n=69),0,0,2491,69
index_date,case,True,keyword,"The text term used to describe the reference or anchor date used when for date obfuscation, where a single date is obscurred by creating one or more date ranges in relation to this date.",2492,2181,311,12.48,2181,categorical,,,,,1,Diagnosis (n=2181),0,0,2262,0
lost_to_followup,case,True,keyword,The yes/no/unknown indicator used to describe whether a patient was unable to be contacted or seen for follow-up information.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1157,0
days_to_lost_to_followup,case,True,long,The number of days between the date used for index and to the date the patient was lost to follow-up.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1157,0
demographic.demographic_id,demographic,True,keyword,,2492,2189,303,12.16,2189,categorical,,,,,2189,2deed171-5c2c-54e7-9fcc-9c58bff8ba86 (n=1) | ef36203e-71e0-5dcb-a660-0a4015ed1b9a (n=1) | 6a7ca25b-1800-5d48-875b-133704cb32dd (n=1) | ac62a6af-1163-5f5d-ac9e-ced481fdcc64 (n=1) | 28152b8f-29f5-5272-b3d0-7eead6bceda6 (n=1) | 353fd727-a6bc-5347-8dcc-94a32c025989 (n=1) | 2aee8ce2-e1b6-50a2-b252-9cd7795b1b7b (n=1) | bfb9008f-5dab-53af-bd92-7a05c531722e (n=1) | bbe95b49-344f-50b9-ae7c-1bc2f97e7b00 (n=1) | 4b4abe17-f244-579a-8b5d-0b5f616017c1 (n=1) | 630a59c6-de31-5668-b31f-dc0c97448c67 (n=1) | fc670220-c587-5f99-b111-c250374bc0d1 (n=1) | e3a2fe49-2e6a-5ebe-bea2-b33d3b789be9 (n=1) | 286f4995-41fd-5b69-a4d1-12bd99652b28 (n=1) | fe9576cf-ace9-54ca-949a-5d44b8982a0a (n=1) | 8322a391-2279-54ef-b4ad-301f277cf6cb (n=1) | 64734586-2adf-58dc-98db-1500481fe47c (n=1) | 6ea68ba8-09f2-5e6a-88bb-1f45cb7e0380 (n=1) | 574831f3-7a8e-59e7-836a-d59547d27015 (n=1) | cfff6002-4164-5ffb-9797-e456b5638727 (n=1) | cf85e693-b502-59b9-a689-8f3dd9009cdd (n=1) | b4590fa4-2aa1-5482-a810-58402ae97ebb (n=1) | 91f63010-6039-5e49-a85e-70a62f517a7b (n=1) | 371b9951-b424-5a98-954f-0784807d0d86 (n=1) | b9d06b4f-8b1f-5ebf-bde1-73d359c67e8c (n=1) | 448b59ee-249e-5d3d-b7e0-e213c0ac3cd7 (n=1) | fa16c699-98f2-5c2f-96e2-bd5b0f82b746 (n=1) | 71569ff1-ef8b-5ab6-b020-bdf24861f6f7 (n=1) | f61c60c2-b753-5fcd-b851-519c8496cb56 (n=1) | f65c9cd9-4f9b-5dce-8b5d-d818aec6a1a7 (n=1) | db039ca4-6d50-59fd-9e66-39c2ded31389 (n=1) | e89829df-ef2c-527c-81a7-c0c705a66dc1 (n=1) | 26fd8e0e-237f-50a5-b803-b67d269829f8 (n=1) | 05306837-bc3e-57f0-b077-7247169730d1 (n=1) | be481242-2bf9-5522-ae04-5320e7a2225e (n=1) | ef8299b5-2419-5b40-98fc-27f40d56d729 (n=1) | 66ccb209-10df-5433-860a-467a0d704428 (n=1) | 21053013-ba03-527f-9954-08c9d6d990d1 (n=1) | 05b32083-a63c-5b13-9c33-15d8dd8f76c6 (n=1) | f8846c0a-4600-5b29-9b67-2ecda71a28b4 (n=1),0,0,2189,0
demographic.vital_status,demographic,True,keyword,The survival state of the person registered on the protocol.,2492,2189,303,12.16,2158,categorical,,,,,4,Alive (n=1416) | Dead (n=742) | Not Reported (n=30) | Unknown (n=1),0,0,2189,31
